#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692057720000000000,64.5
,ExposedTemp,1692057840000000000,64
,ExposedTemp,1692057960000000000,63.5
,ExposedTemp,1692058080000000000,63.5
,ExposedTemp,1692058200000000000,63.3
,ExposedTemp,1692058320000000000,63.3
,ExposedTemp,1692058440000000000,63.2
,ExposedTemp,1692058560000000000,62.9
,ExposedTemp,1692058680000000000,62.6
,ExposedTemp,1692058800000000000,62.9
,ExposedTemp,1692058920000000000,63.3
,ExposedTemp,1692059040000000000,63.6
,ExposedTemp,1692059160000000000,63.9
,ExposedTemp,1692059280000000000,63.9
,ExposedTemp,1692059400000000000,63.9
,ExposedTemp,1692059520000000000,64.1
,ExposedTemp,1692059640000000000,64.2
,ExposedTemp,1692059760000000000,64
,ExposedTemp,1692059880000000000,63.8
,ExposedTemp,1692060000000000000,63.7
,ExposedTemp,1692060120000000000,63.7
,ExposedTemp,1692060240000000000,63.8
,ExposedTemp,1692060360000000000,63.9
,ExposedTemp,1692060480000000000,63.9
,ExposedTemp,1692060600000000000,63.7
,ExposedTemp,1692060720000000000,63.7
,ExposedTemp,1692060840000000000,63.7
,ExposedTemp,1692060960000000000,63.6
,ExposedTemp,1692061080000000000,63.5
,ExposedTemp,1692061200000000000,63.2
,ExposedTemp,1692061320000000000,63.1
,ExposedTemp,1692061440000000000,63.1
,ExposedTemp,1692061560000000000,62.9
,ExposedTemp,1692061680000000000,62.9
,ExposedTemp,1692061800000000000,62.9
,ExposedTemp,1692061920000000000,62.8
,ExposedTemp,1692062040000000000,62.7
,ExposedTemp,1692062160000000000,62.8
,ExposedTemp,1692062280000000000,63.2
,ExposedTemp,1692062400000000000,63.2
,ExposedTemp,1692062520000000000,63.2
,ExposedTemp,1692062640000000000,63.1
,ExposedTemp,1692062760000000000,62.9
,ExposedTemp,1692062880000000000,62.7
,ExposedTemp,1692063000000000000,62.5
,ExposedTemp,1692063120000000000,62.5
,ExposedTemp,1692063240000000000,62.3
,ExposedTemp,1692063360000000000,62.1
,ExposedTemp,1692063480000000000,62.2
,ExposedTemp,1692063600000000000,62.7
,ExposedTemp,1692063720000000000,62.5
,ExposedTemp,1692063840000000000,62.6
,ExposedTemp,1692063960000000000,62.8
,ExposedTemp,1692064080000000000,62.8
,ExposedTemp,1692064200000000000,63.2
,ExposedTemp,1692064320000000000,63.9
,ExposedTemp,1692064440000000000,63.9
,ExposedTemp,1692064560000000000,63.7
,ExposedTemp,1692064680000000000,63.6
,ExposedTemp,1692064800000000000,63.5
,ExposedTemp,1692064920000000000,63.3
,ExposedTemp,1692065040000000000,63.3
,ExposedTemp,1692065160000000000,63.1
,ExposedTemp,1692065280000000000,63
,ExposedTemp,1692065400000000000,62.8
