_time,10A-Left,10A-Right
2023-08-15T04:00:00Z,-20423.08517498771,-19675.17587491095
2023-08-15T04:30:00Z,-20408.03272490139,-19653.595607454125
2023-08-15T05:00:00Z,-20388.633605838335,-19628.172585145097
2023-08-15T05:30:00Z,-20370.022674256114,-19609.34067627337
2023-08-15T06:00:00Z,-20361.651650020278,-19596.48420412064
2023-08-15T06:30:00Z,-20350.78860066139,-19583.209679242067
2023-08-15T07:00:00Z,-20343.090287451945,-19576.866682097745
2023-08-15T07:30:00Z,-20326.810148563058,-19563.87936524906
2023-08-15T08:00:00Z,-20329.55437158361,-19561.0208631222
2023-08-15T08:30:00Z,-20316.860025388058,-19551.186313313123
2023-08-15T09:00:00Z,-20306.867959415835,-19539.241413061613
2023-08-15T09:30:00Z,-20303.08335045917,-19539.030758374363
2023-08-15T10:00:00Z,-20297.91791359889,-19530.321692219375
2023-08-15T10:30:00Z,-20292.504091879724,-19532.400010657024
2023-08-15T11:00:00Z,-20283.39009035278,-19525.636789085467
2023-08-15T11:30:00Z,-20284.101475110558,-19527.62878249715
2023-08-15T12:00:00Z,-20292.964368010278,-19531.113819988244
2023-08-15T12:30:00Z,-20297.004444139446,-19529.827630500873
2023-08-15T13:00:00Z,-20294.87900563195,-19535.17544517101
2023-08-15T13:30:00Z,-20294.50098024917,-19531.816908764613
2023-08-15T14:00:00Z,-20295.340915145,-19541.026008156725
2023-08-15T14:30:00Z,-20297.996351447502,-19546.086615630906
2023-08-15T15:00:00Z,-20298.208241743057,-19559.026698634578
2023-08-15T15:30:00Z,-20305.536155925834,-19570.308687071876
2023-08-15T16:00:00Z,-20323.524488771112,-19587.28053384301
2023-08-15T16:30:00Z,-20335.468232156112,-19604.368565735025
2023-08-15T17:00:00Z,-20361.94796988306,-19639.575103078972
2023-08-15T17:30:00Z,-20381.014818562504,-19670.633148643985
2023-08-15T18:00:00Z,-20404.11575255889,-19693.23784523235
2023-08-15T18:30:00Z,-20451.49690424028,-19736.044794407822
2023-08-15T19:00:00Z,-20501.4861038425,-19780.17811017181
2023-08-15T19:30:00Z,-20518.64376250667,-19813.98227117015
2023-08-15T20:00:00Z,-20546.32838606167,-19854.83740375711
2023-08-15T20:30:00Z,-20581.80065616639,-19890.101490492918
2023-08-15T21:00:00Z,-20600.452985596945,-19909.30041676038
2023-08-15T21:30:00Z,-20624.92602984861,-19908.38884472017
2023-08-15T22:00:00Z,-20619.976297019726,-19894.65989143022
2023-08-15T22:30:00Z,-20601.36700035389,-19865.205649008767
2023-08-15T23:00:00Z,-20583.007177886946,-19839.15609029309
2023-08-15T23:30:00Z,-20555.408071914444,-19810.875109581735
2023-08-16T00:00:00Z,-20534.297490665835,-19787.0233128106
2023-08-16T00:30:00Z,-20509.19258793861,-19757.898082315634
2023-08-16T01:00:00Z,-20483.635036273612,-19729.94339949473
2023-08-16T01:30:00Z,-20463.150320108613,-19710.985532150928
2023-08-16T02:00:00Z,-20440.041761220276,-19680.38571585695
2023-08-16T02:30:00Z,-20419.68341728028,-19661.674336898766
2023-08-16T03:00:00Z,-20401.078477974446,-19644.305611942047
2023-08-16T03:30:00Z,-20384.425760821112,-19633.814664866968
2023-08-16T04:00:00Z,-20388.951165600003,-19618.677360933
